Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,0,37,2,2,0,0,3,3,0,0
AGUA SANTA,1,29,4,0,0,0,4,5,0,1
AGUDO,1,125,2,1,0,0,20,3,0,4
AJURICABA,0,37,2,0,0,0,7,4,3,0
ALECRIM,0,57,0,0,0,0,5,6,1,2
ALEGRETE,7,692,13,92,0,2,148,43,76,50
ALEGRIA,0,28,1,1,0,0,1,3,0,0
ALMIRANTE TAMANDARE DO SUL,0,15,0,1,0,1,2,3,1,0
ALPESTRE,1,69,1,2,0,0,3,5,0,1
ALTO ALEGRE,0,3,0,1,0,0,0,2,0,0
ALTO FELIZ,0,11,1,2,0,0,3,1,2,0
ALVORADA,98,1596,284,2245,3,414,361,111,282,256
AMARAL FERRADOR,1,39,0,3,0,0,5,7,0,0
AMETISTA DO SUL,2,54,3,2,0,0,6,5,11,1
ANDRE DA ROCHA,0,17,1,1,0,0,0,5,0,0
ANTA GORDA,0,28,1,2,0,0,6,1,0,1
ANTONIO PRADO,2,106,4,6,0,2,19,6,10,8
ARAMBARE,0,83,0,2,0,1,3,1,2,0
ARARICA,2,34,1,3,0,4,9,10,8,1
ARATIBA,1,19,2,0,0,1,7,3,3,1
ARROIO DO MEIO,1,177,12,11,0,4,39,5,27,13
ARROIO DO PADRE,0,8,0,0,0,1,1,0,0,0
ARROIO DO SAL,4,290,11,21,0,2,25,3,3,5
ARROIO DO TIGRE,1,120,11,7,0,1,13,12,2,2
ARROIO DOS RATOS,0,127,6,18,0,3,10,9,16,12
ARROIO GRANDE,0,209,7,6,0,1,20,10,12,22
ARVOREZINHA,0,76,4,7,1,0,9,7,5,4
AUGUSTO PESTANA,0,47,3,2,0,0,10,3,2,0
AUREA,0,11,0,0,0,0,5,0,0,0
BAGE,9,1250,65,221,1,7,221,38,168,99
BALNEARIO PINHAL,4,261,13,38,1,7,28,8,7,16
BARAO,0,16,0,2,0,0,8,1,5,0
BARAO DE COTEGIPE,1,44,2,4,0,2,9,7,1,2
BARAO DO TRIUNFO,0,37,2,6,0,0,7,5,0,1
BARRA DO GUARITA,2,23,0,4,0,0,0,4,2,0
BARRA DO QUARAI,1,52,2,4,0,0,2,2,4,2
BARRA DO RIBEIRO,1,180,0,22,0,2,15,9,11,12
BARRA DO RIO AZUL,0,9,1,0,0,0,0,0,0,0
BARRA FUNDA,0,7,0,0,0,0,2,0,0,0
BARRACAO,1,40,2,2,0,1,5,4,3,2
