Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,1,46,0,1,0,0,8,1,0,0
AGUA SANTA,0,28,4,2,0,1,2,3,0,0
AGUDO,0,116,5,5,0,0,20,3,1,5
AJURICABA,1,39,3,0,0,1,6,2,1,4
ALECRIM,2,52,2,0,0,0,3,4,2,0
ALEGRETE,11,745,19,94,3,2,132,37,88,84
ALEGRIA,0,27,3,0,0,0,1,4,0,0
ALMIRANTE TAMANDARE DO SUL,0,9,2,1,0,1,6,1,0,0
ALPESTRE,1,47,1,2,0,0,4,8,0,2
ALTO ALEGRE,0,11,1,0,0,0,3,0,0,0
ALTO FELIZ,0,7,1,0,0,0,2,3,0,0
ALVORADA,96,1536,310,2177,3,368,402,102,287,209
AMARAL FERRADOR,1,33,1,5,0,0,9,5,0,1
AMETISTA DO SUL,1,46,1,1,0,0,3,2,7,1
ANDRE DA ROCHA,0,14,1,0,0,0,1,1,1,0
ANTA GORDA,0,37,0,0,0,0,5,2,0,0
ANTONIO PRADO,1,107,5,11,0,0,33,3,15,10
ARAMBARE,0,55,0,2,0,0,3,0,3,0
ARARICA,0,48,4,8,0,6,7,4,15,1
ARATIBA,0,24,1,0,0,0,3,7,1,0
ARROIO DO MEIO,0,151,10,20,0,2,38,7,35,9
ARROIO DO PADRE,0,9,0,0,0,0,2,0,0,0
ARROIO DO SAL,0,264,12,25,0,4,18,6,4,9
ARROIO DO TIGRE,0,117,2,4,0,1,8,6,0,6
ARROIO DOS RATOS,0,104,4,18,0,2,12,5,23,14
ARROIO GRANDE,0,196,2,12,0,1,20,13,15,17
ARVOREZINHA,2,74,3,8,0,0,15,12,6,10
AUGUSTO PESTANA,0,39,1,2,0,0,7,0,3,2
AUREA,0,15,0,1,0,0,8,0,0,0
BAGE,11,1343,55,272,0,8,244,52,116,109
BALNEARIO PINHAL,4,251,4,25,0,4,31,10,17,19
BARAO,0,24,2,3,0,1,18,3,4,0
BARAO DE COTEGIPE,1,51,2,4,0,1,10,7,3,3
BARAO DO TRIUNFO,0,55,1,2,0,1,2,5,1,2
BARRA DO GUARITA,1,21,0,1,0,0,1,2,0,1
BARRA DO QUARAI,0,75,0,2,0,0,4,2,5,1
BARRA DO RIBEIRO,1,153,3,35,0,4,18,5,17,5
BARRA DO RIO AZUL,0,7,0,0,0,0,1,0,0,0
BARRA FUNDA,0,9,1,2,0,0,3,0,0,0
BARRACAO,1,53,2,1,0,0,3,8,1,1
BARROS CASSAL,4,98,7,5,0,2,4,4,0,2
BENJAMIN CONSTANT DO SUL,0,10,0,0,0,0,2,1,0,0
BENTO GONCALVES,36,1201,264,331,0,55,330,72,97,74
BOA VISTA DAS MISSOES,0,16,1,2,0,0,5,2,0,0
BOA VISTA DO BURICA,0,20,2,0,0,0,7,2,0,0
BOA VISTA DO CADEADO,0,21,0,0,0,0,2,1,0,0
BOA VISTA DO INCRA,0,15,1,2,0,0,2,1,0,0
BOA VISTA DO SUL,0,15,1,0,0,1,0,0,0,0
BOM JESUS,1,104,6,11,0,0,17,7,13,9
BOM PRINCIPIO,0,110,5,13,0,3,24,1,32,9
BOM PROGRESSO,0,7,1,0,0,0,0,1,1,0
BOM RETIRO DO SUL,1,96,4,10,0,0,14,4,36,3
BOQUEIRAO DO LEAO,0,55,2,3,0,0,8,2,1,0
BOSSOROCA,0,51,0,0,0,0,5,6,6,3
BOZANO,0,32,0,2,0,0,2,0,0,0
BRAGA,1,44,2,2,0,0,4,6,0,3
