Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,1,43,0,0,0,0,9,1,0,0
AGUA SANTA,0,21,3,4,0,0,3,2,0,1
AGUDO,3,92,4,5,0,0,16,11,5,5
AJURICABA,0,42,3,1,0,0,11,2,4,1
ALECRIM,0,64,1,4,0,0,7,7,4,0
ALEGRETE,10,685,15,63,0,0,139,50,79,44
ALEGRIA,0,37,1,1,0,0,2,2,0,0
ALMIRANTE TAMANDARE DO SUL,0,12,0,1,0,0,4,0,1,0
ALPESTRE,1,62,4,5,0,1,1,3,0,0
ALTO ALEGRE,0,6,0,1,0,0,0,1,0,0
ALTO FELIZ,0,8,0,3,0,0,7,1,1,0
ALVORADA,74,1365,230,1831,2,320,415,83,248,219
AMARAL FERRADOR,3,14,1,1,0,0,1,1,0,0
AMETISTA DO SUL,3,60,7,2,0,0,7,3,10,6
ANDRE DA ROCHA,1,13,0,1,0,0,0,0,0,0
ANTA GORDA,0,34,3,1,0,0,7,0,1,0
ANTONIO PRADO,0,93,8,5,0,2,29,7,9,10
ARAMBARE,1,68,1,4,0,0,7,6,11,1
ARARICA,0,42,1,10,0,4,6,4,4,5
ARATIBA,0,30,3,0,0,0,5,3,1,0
ARROIO DO MEIO,3,167,13,18,0,3,58,1,20,9
ARROIO DO PADRE,0,7,0,0,0,0,0,1,0,0
ARROIO DO SAL,4,482,23,29,0,1,69,6,49,19
ARROIO DO TIGRE,0,88,2,12,0,1,13,19,0,3
ARROIO DOS RATOS,1,75,10,4,0,3,16,6,5,12
ARROIO GRANDE,1,159,7,10,0,0,27,9,25,10
ARVOREZINHA,2,74,6,9,1,1,7,12,10,2
AUGUSTO PESTANA,0,28,3,1,0,0,7,2,0,0
AUREA,0,18,0,1,0,0,2,0,0,1
BAGE,8,1173,54,186,0,5,228,40,136,96
BALNEARIO PINHAL,8,316,31,58,0,7,41,12,30,26
BARAO,0,29,0,3,0,0,14,0,1,1
BARAO DE COTEGIPE,0,62,1,3,0,1,13,3,3,2
BARAO DO TRIUNFO,0,28,0,3,0,0,1,7,0,1
BARRA DO GUARITA,0,17,3,3,0,0,1,5,2,2
BARRA DO QUARAI,0,71,2,1,0,0,5,7,3,4
BARRA DO RIBEIRO,2,134,5,21,0,3,20,8,19,10
BARRA DO RIO AZUL,0,6,0,0,0,0,2,1,0,0
BARRA FUNDA,1,8,0,0,0,0,4,0,1,0
BARRACAO,0,45,1,3,0,0,13,5,4,2
BARROS CASSAL,1,54,6,6,0,2,4,6,0,2
BENJAMIN CONSTANT DO SUL,0,14,1,1,0,0,0,0,0,0
BENTO GONCALVES,16,1109,178,277,0,34,329,61,72,66
BOA VISTA DAS MISSOES,0,9,0,4,0,0,3,0,0,0
BOA VISTA DO BURICA,0,23,1,1,0,0,9,1,0,0
BOA VISTA DO CADEADO,0,25,0,2,0,0,1,2,0,0
BOA VISTA DO INCRA,0,22,3,3,0,0,4,3,0,0
BOA VISTA DO SUL,0,9,0,0,0,1,1,0,0,0
BOM JESUS,1,94,3,11,0,2,18,6,10,13
BOM PRINCIPIO,1,77,2,2,0,4,25,4,35,6
BOM PROGRESSO,0,15,3,1,0,0,2,5,1,2
BOM RETIRO DO SUL,0,83,7,10,0,4,12,5,23,5
BOQUEIRAO DO LEAO,1,46,2,1,0,0,7,4,1,0
BOSSOROCA,1,56,2,2,0,0,1,7,0,0
BOZANO,0,21,0,0,0,0,1,4,0,0
BRAGA,1,31,3,4,0,0,2,4,1,0
BROCHIER,0,13,1,3,0,1,6,2,1,0
BUTIA,5,240,7,27,2,1,36,19,35,16
CACAPAVA DO SUL,3,351,20,13,1,0,50,24,38,14
CACEQUI,1,183,5,2,0,0,19,5,12,7
CACHOEIRA DO SUL,4,806,77,94,0,1,112,29,66,74
CACHOEIRINHA,27,1305,173,901,1,237,401,36,160,117
