Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,0,39,0,0,0,0,8,0,0,0
AGUA SANTA,0,21,3,0,0,1,4,3,0,0
AGUDO,0,97,1,3,0,0,17,3,3,3
AJURICABA,0,32,2,1,0,0,2,6,3,1
ALECRIM,1,48,1,0,0,0,4,3,1,0
ALEGRETE,10,705,16,99,0,2,106,36,83,51
ALEGRIA,0,24,0,2,0,0,2,1,0,1
ALMIRANTE TAMANDARE DO SUL,0,13,0,1,0,1,0,1,0,1
ALPESTRE,1,55,2,4,0,0,1,10,0,0
ALTO ALEGRE,0,3,0,0,0,0,1,0,0,0
ALTO FELIZ,0,5,1,2,0,0,3,2,0,0
ALVORADA,107,1430,263,2063,1,366,307,82,236,193
AMARAL FERRADOR,1,33,2,3,0,0,10,3,0,0
AMETISTA DO SUL,0,43,2,4,0,0,3,2,5,0
ANDRE DA ROCHA,0,17,0,1,0,0,1,3,3,0
ANTA GORDA,0,24,3,1,0,0,9,4,1,0
ANTONIO PRADO,0,84,9,8,0,1,22,2,11,9
ARAMBARE,0,116,3,11,0,0,5,1,25,2
ARARICA,1,51,4,10,0,1,4,1,5,3
ARATIBA,0,23,0,0,0,0,1,6,0,1
ARROIO DO MEIO,1,136,6,16,0,6,37,5,20,2
ARROIO DO PADRE,0,8,0,2,0,0,1,0,0,0
ARROIO DO SAL,2,404,20,32,0,3,42,11,49,40
ARROIO DO TIGRE,3,91,4,10,0,0,15,9,1,3
ARROIO DOS RATOS,3,126,4,15,0,1,9,5,18,16
ARROIO GRANDE,1,186,8,9,0,0,18,6,33,22
ARVOREZINHA,1,65,3,4,0,0,9,10,4,3
AUGUSTO PESTANA,0,47,2,2,0,0,11,1,0,0
AUREA,0,8,0,1,0,0,6,0,0,0
BAGE,5,1209,56,235,1,6,169,37,101,76
BALNEARIO PINHAL,6,459,49,84,0,8,66,15,48,35
BARAO,0,18,1,1,0,0,5,2,4,2
BARAO DE COTEGIPE,0,44,0,4,0,0,3,4,0,2
BARAO DO TRIUNFO,2,25,3,3,0,0,5,3,0,0
BARRA DO GUARITA,4,25,0,1,0,0,1,4,1,1
BARRA DO QUARAI,0,58,2,1,0,0,1,1,3,0
BARRA DO RIBEIRO,2,167,8,27,0,4,14,6,21,11
BARRA DO RIO AZUL,0,6,0,0,0,0,0,0,0,0
BARRA FUNDA,0,12,0,1,0,0,3,0,0,0
BARRACAO,1,39,1,2,0,0,5,4,0,0
BARROS CASSAL,0,68,8,6,0,1,7,6,2,1
BENJAMIN CONSTANT DO SUL,0,8,0,2,0,0,0,2,0,0
BENTO GONCALVES,15,1071,173,281,2,65,323,52,62,51
BOA VISTA DAS MISSOES,0,8,1,1,0,1,2,1,0,0
BOA VISTA DO BURICA,0,13,3,1,0,0,5,1,0,1
BOA VISTA DO CADEADO,0,22,0,1,0,0,0,1,0,0
BOA VISTA DO INCRA,0,14,0,0,0,0,2,0,0,0
BOA VISTA DO SUL,0,16,1,1,1,0,1,0,0,0
BOM JESUS,1,104,1,12,0,0,14,12,11,15
BOM PRINCIPIO,0,79,13,7,0,16,25,4,22,7
BOM PROGRESSO,1,13,2,1,1,0,1,1,0,3
BOM RETIRO DO SUL,1,94,5,10,0,0,14,3,21,6
BOQUEIRAO DO LEAO,1,45,7,2,0,0,4,2,2,0
BOSSOROCA,0,47,2,0,0,0,1,3,2,2
BOZANO,0,14,0,0,0,0,0,1,0,0
BRAGA,0,22,3,0,0,0,0,3,2,1
BROCHIER,0,14,2,1,0,0,5,0,0,0
BUTIA,4,259,10,28,0,1,28,11,24,14
CACAPAVA DO SUL,1,340,18,26,0,1,47,13,28,17
CACEQUI,0,168,0,7,1,1,14,8,11,2
CACHOEIRA DO SUL,7,938,95,118,1,5,90,26,73,78
CACHOEIRINHA,22,1317,182,991,0,253,295,44,210,74
CACIQUE DOBLE,0,20,0,1,0,0,2,2,0,0
