Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,0,39,2,0,0,0,4,1,0,0
AGUA SANTA,1,35,2,2,0,0,4,1,0,0
AGUDO,0,112,5,5,0,0,16,9,5,1
AJURICABA,0,29,2,2,0,0,2,3,5,1
ALECRIM,1,46,2,4,0,0,3,1,0,1
ALEGRETE,9,743,17,89,0,1,117,39,65,49
ALEGRIA,0,37,0,0,1,0,3,0,0,0
ALMIRANTE TAMANDARE DO SUL,0,19,2,0,0,1,1,2,0,0
ALPESTRE,1,60,3,3,0,0,4,4,1,0
ALTO ALEGRE,0,5,1,0,0,0,1,1,0,0
ALTO FELIZ,0,8,0,0,0,0,3,0,3,0
ALVORADA,95,1561,288,2245,4,411,369,69,245,191
AMARAL FERRADOR,1,29,3,4,0,0,1,3,0,0
AMETISTA DO SUL,0,48,5,1,0,0,6,1,9,0
ANDRE DA ROCHA,0,16,0,0,0,0,0,5,0,0
ANTA GORDA,0,21,2,0,0,0,12,6,0,1
ANTONIO PRADO,1,114,5,4,0,1,21,3,11,12
ARAMBARE,0,113,5,4,0,0,7,1,20,6
ARARICA,0,33,2,5,1,7,8,1,3,2
ARATIBA,1,21,1,4,0,0,7,5,2,0
ARROIO DO MEIO,1,178,13,19,0,2,32,10,24,9
ARROIO DO PADRE,0,5,0,0,0,0,0,1,0,0
ARROIO DO SAL,1,585,24,33,0,5,41,12,86,34
ARROIO DO TIGRE,4,96,8,3,0,0,13,10,1,5
ARROIO DOS RATOS,0,115,6,21,0,0,11,8,17,16
ARROIO GRANDE,1,178,9,8,0,0,29,7,28,16
ARVOREZINHA,0,55,9,2,0,0,9,4,3,1
AUGUSTO PESTANA,0,54,0,2,0,0,9,1,0,0
AUREA,1,23,0,1,0,0,5,1,1,0
BAGE,12,1365,70,221,1,6,180,37,120,90
BALNEARIO PINHAL,7,495,59,129,0,7,48,17,76,43
BARAO,0,20,0,4,0,1,3,1,1,0
BARAO DE COTEGIPE,0,66,3,5,0,1,10,8,5,2
BARAO DO TRIUNFO,2,34,4,5,0,0,11,3,0,1
BARRA DO GUARITA,1,24,7,2,0,1,0,3,0,0
BARRA DO QUARAI,0,78,1,1,0,0,3,0,3,1
BARRA DO RIBEIRO,1,170,0,18,0,1,17,16,34,17
BARRA DO RIO AZUL,0,9,0,0,0,0,0,0,0,0
BARRA FUNDA,0,14,1,2,0,0,3,0,0,0
BARRACAO,0,39,1,1,0,0,7,3,1,3
BARROS CASSAL,1,56,5,2,0,0,11,4,1,8
BENJAMIN CONSTANT DO SUL,1,8,1,0,0,0,0,1,0,0
BENTO GONCALVES,14,1189,185,270,0,62,275,61,85,75
BOA VISTA DAS MISSOES,0,4,3,4,0,0,0,1,1,0
BOA VISTA DO BURICA,0,20,1,2,0,1,9,2,2,0
BOA VISTA DO CADEADO,0,20,0,1,0,0,2,2,0,0
BOA VISTA DO INCRA,0,25,0,1,0,1,2,1,0,0
BOA VISTA DO SUL,0,19,0,1,0,1,1,2,0,0
BOM JESUS,4,117,3,4,1,1,24,4,15,20
BOM PRINCIPIO,0,98,6,9,0,5,28,1,40,3
BOM PROGRESSO,0,13,0,0,0,0,2,2,0,0
BOM RETIRO DO SUL,0,97,2,17,0,2,12,2,20,7
BOQUEIRAO DO LEAO,0,46,1,1,0,0,2,1,0,0
BOSSOROCA,1,63,4,1,0,0,4,5,3,0
BOZANO,0,21,0,1,0,0,1,0,1,1
BRAGA,0,34,3,1,0,0,2,2,1,0
BROCHIER,1,10,0,4,0,0,5,1,0,1
BUTIA,3,288,6,44,0,1,27,13,41,22
CACAPAVA DO SUL,4,350,31,27,0,1,46,20,24,11
CACEQUI,0,147,2,14,0,0,23,8,7,7
CACHOEIRA DO SUL,9,982,106,115,1,3,96,44,62,72
CACHOEIRINHA,34,1317,204,1036,1,279,342,52,282,84
CACIQUE DOBLE,0,22,1,3,0,0,3,4,2,0
CAIBATE,0,15,0,0,0,0,5,1,0,0
CAICARA,1,26,3,1,0,0,1,1,0,0
CAMAQUA,3,868,66,94,0,2,133,26,58,48
CAMARGO,0,10,3,1,0,0,0,3,5,0
CAMBARA DO SUL,0,45,3,2,0,1,6,9,4,1
CAMPESTRE DA SERRA,0,30,0,0,0,0,1,6,3,0
CAMPINA DAS MISSOES,1,15,1,0,0,0,4,1,1,0
CAMPINAS DO SUL,0,41,1,1,0,0,5,9,9,3
CAMPO BOM,8,682,168,341,0,109,130,16,67,13
CAMPO NOVO,0,49,5,6,0,0,13,5,5,6
CAMPOS BORGES,1,27,2,2,1,0,0,1,2,0
CANDELARIA,13,340,27,47,0,6,38,30,16,2
CANDIDO GODOI,1,17,2,0,0,0,5,2,0,0
CANDIOTA,0,158,9,4,0,2,5,2,0,3
CANELA,7,652,21,53,0,8,83,29,69,53
CANGUCU,2,309,18,26,0,2,38,14,7,13
CANOAS,105,3985,604,2738,2,734,808,121,475,337
CANUDOS DO VALE,0,5,0,0,0,0,1,1,2,0
CAPAO BONITO DO SUL,0,31,0,0,0,0,2,2,0,0
CAPAO DA CANOA,18,2080,138,356,0,18,287,40,296,166
CAPAO DO CIPO,0,14,0,3,1,0,1,3,0,0
CAPAO DO LEAO,0,128,11,41,0,5,28,16,7,3
CAPELA DE SANTANA,4,97,6,17,0,4,11,4,14,7
CAPITAO,0,15,0,0,0,0,3,1,0,0
CAPIVARI DO SUL,0,53,4,7,0,6,11,4,18,4
CARAA,0,34,1,2,0,1,5,3,4,1
CARAZINHO,9,816,62,141,0,25,128,43,40,23
