Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,1,35,1,0,1,0,5,3,0,0
AGUA SANTA,0,49,5,6,0,2,5,3,0,0
AGUDO,1,165,5,9,0,0,22,5,5,5
AJURICABA,0,46,0,3,0,0,3,5,0,1
ALECRIM,0,63,1,0,0,0,8,7,2,2
ALEGRETE,7,660,16,120,1,1,123,34,94,64
ALEGRIA,0,39,1,0,0,0,4,6,0,1
ALMIRANTE TAMANDARE DO SUL,0,11,2,2,0,0,7,1,1,1
ALPESTRE,0,58,1,1,0,0,2,4,1,0
ALTO ALEGRE,0,6,0,2,0,0,2,1,0,0
ALTO FELIZ,0,10,1,1,0,0,3,1,0,1
ALVORADA,85,1543,313,2260,4,350,416,106,277,275
AMARAL FERRADOR,0,30,2,9,1,0,6,4,0,1
AMETISTA DO SUL,0,52,3,2,1,0,5,4,12,1
ANDRE DA ROCHA,0,14,0,0,0,0,2,1,0,0
ANTA GORDA,0,31,0,1,0,0,6,7,1,2
ANTONIO PRADO,1,100,3,7,0,0,25,5,12,8
ARAMBARE,0,63,2,5,0,0,3,5,1,0
ARARICA,1,38,3,10,0,3,13,5,5,1
ARATIBA,1,26,1,0,0,0,5,5,3,0
ARROIO DO MEIO,0,159,9,12,1,2,37,3,28,4
ARROIO DO PADRE,0,3,1,3,0,0,0,0,0,0
ARROIO DO SAL,0,327,12,14,0,2,29,4,7,11
ARROIO DO TIGRE,0,124,5,6,0,1,26,6,1,2
ARROIO DOS RATOS,2,101,5,17,0,1,15,4,13,14
ARROIO GRANDE,4,210,1,12,0,1,22,12,11,15
ARVOREZINHA,2,68,5,5,0,0,14,11,6,6
AUGUSTO PESTANA,0,26,3,1,0,0,5,2,1,0
AUREA,0,22,2,0,0,0,3,1,2,0
BAGE,7,1297,58,212,0,6,221,41,149,101
BALNEARIO PINHAL,3,274,7,31,0,5,38,6,15,15
BARAO,0,27,1,1,0,0,8,2,6,0
BARAO DE COTEGIPE,1,47,1,4,0,0,13,6,4,2
BARAO DO TRIUNFO,0,55,2,3,0,1,6,8,1,0
BARRA DO GUARITA,0,26,1,2,0,0,2,3,0,2
BARRA DO QUARAI,0,50,1,1,0,1,9,3,1,2
BARRA DO RIBEIRO,1,128,0,19,0,5,24,9,13,11
BARRA DO RIO AZUL,0,10,0,0,0,0,0,2,0,0
BARRA FUNDA,0,15,0,3,0,1,6,2,0,0
BARRACAO,1,64,1,3,0,1,10,3,2,1
BARROS CASSAL,0,82,4,12,1,3,15,4,3,2
BENJAMIN CONSTANT DO SUL,0,9,0,0,0,1,1,1,0,0
BENTO GONCALVES,25,1270,246,329,1,59,393,68,110,83
BOA VISTA DAS MISSOES,0,16,0,1,0,0,2,1,0,0
BOA VISTA DO BURICA,1,26,0,2,0,0,10,1,2,0
BOA VISTA DO CADEADO,0,26,1,0,0,1,2,1,0,0
BOA VISTA DO INCRA,0,19,1,0,0,0,3,1,1,0
BOA VISTA DO SUL,0,15,1,3,0,2,1,0,1,0
BOM JESUS,2,144,6,18,0,0,21,10,14,11
BOM PRINCIPIO,0,89,9,9,0,3,30,3,26,4
BOM PROGRESSO,0,7,3,0,0,0,1,2,1,1
BOM RETIRO DO SUL,0,85,3,15,0,5,7,3,29,2
BOQUEIRAO DO LEAO,0,34,3,3,0,0,3,1,0,0
BOSSOROCA,0,71,2,2,0,1,7,7,3,2
BOZANO,0,18,0,0,0,0,1,0,0,1
BRAGA,0,40,2,1,0,0,4,4,1,0
BROCHIER,0,24,2,3,0,0,7,1,1,1
BUTIA,7,288,8,46,0,2,29,14,35,19
CACAPAVA DO SUL,1,356,19,37,1,2,44,11,51,17
CACEQUI,3,225,2,9,0,0,11,9,8,1
CACHOEIRA DO SUL,5,817,57,126,0,1,111,31,83,99
CACHOEIRINHA,16,1389,196,998,0,219,362,41,252,147
CACIQUE DOBLE,0,27,1,2,0,1,3,6,0,0
CAIBATE,0,15,1,2,0,1,3,5,1,0
CAICARA,0,24,1,3,0,0,5,2,1,0
CAMAQUA,6,913,71,161,0,9,133,25,48,51
CAMARGO,0,16,2,5,0,0,4,3,0,0
CAMBARA DO SUL,1,46,0,3,0,0,12,4,4,2
CAMPESTRE DA SERRA,0,28,2,0,1,0,1,3,1,0
CAMPINA DAS MISSOES,1,15,0,1,0,0,1,1,2,3
CAMPINAS DO SUL,0,40,2,5,0,0,5,5,1,1
CAMPO BOM,6,662,154,318,0,89,151,18,99,24
CAMPO NOVO,0,67,1,4,0,1,12,3,7,10
CAMPOS BORGES,0,19,4,4,0,0,3,6,0,0
CANDELARIA,9,304,11,39,0,3,49,25,17,7
CANDIDO GODOI,0,19,3,3,0,0,9,0,1,0
CANDIOTA,0,130,5,1,0,0,8,3,2,3
CANELA,3,680,43,78,0,2,100,25,68,45
CANGUCU,6,353,16,22,0,3,64,34,11,11
CANOAS,55,3989,615,2639,3,626,1034,146,808,511
CANUDOS DO VALE,0,7,0,1,0,0,1,0,0,0
CAPAO BONITO DO SUL,0,36,1,2,0,0,4,3,0,2
CAPAO DA CANOA,13,810,81,167,0,17,169,19,47,75
CAPAO DO CIPO,0,24,0,4,0,1,2,1,0,0
CAPAO DO LEAO,3,155,2,17,0,0,18,9,11,7
CAPELA DE SANTANA,2,103,5,7,0,3,21,5,12,2
CAPITAO,0,13,1,1,0,0,1,2,0,2
CAPIVARI DO SUL,0,38,3,5,0,1,4,1,3,3
CARAA,0,27,0,2,0,0,3,4,0,4
CARAZINHO,11,754,63,152,1,9,138,39,53,50
CARLOS BARBOSA,2,202,14,23,0,11,76,5,25,5
CARLOS GOMES,0,9,0,0,0,0,0,4,0,0
CASCA,0,48,7,6,0,6,38,1,21,2
CASEIROS,0,29,4,3,0,0,6,2,0,0
CATUIPE,0,87,0,7,0,0,7,7,10,2
CAXIAS DO SUL,71,4443,1140,2072,5,540,1519,230,237,246
CENTENARIO,0,5,0,0,0,0,3,1,0,0
CERRITO,1,56,1,8,0,0,4,4,0,0
CERRO BRANCO,0,19,3,1,1,1,3,1,0,0
CERRO GRANDE,0,13,0,1,0,0,3,1,2,0
CERRO GRANDE DO SUL,0,76,10,7,0,0,8,2,1,1
CERRO LARGO,1,84,4,14,0,0,19,7,9,14
CHAPADA,0,34,1,4,0,0,16,5,3,0
CHARQUEADAS,5,221,5,12,0,0,35,5,134,153
CHARRUA,0,16,0,1,0,0,1,4,1,0
CHIAPETTA,0,35,2,1,0,0,6,0,1,1
CHUI,1,131,3,11,0,0,10,1,13,6
CHUVISCA,0,40,0,0,0,0,3,3,0,0
CIDREIRA,3,354,8,44,1,5,40,6,36,17
CIRIACO,0,86,0,13,0,6,3,6,1,1
COLINAS,0,12,0,0,0,0,4,0,0,1
COLORADO,1,14,0,0,0,0,4,0,0,0
CONDOR,0,57,2,5,0,0,13,1,0,2
CONSTANTINA,2,52,1,6,0,0,11,5,4,10
COQUEIRO BAIXO,0,6,0,0,0,1,1,0,0,0
COQUEIROS DO SUL,0,20,2,1,0,0,2,0,0,1
CORONEL BARROS,0,13,0,0,0,0,2,1,0,0
CORONEL BICACO,0,93,2,10,0,1,8,5,1,3
CORONEL PILAR,0,12,0,1,0,0,2,0,0,0
COTIPORA,0,23,2,0,0,1,6,3,1,0
COXILHA,2,20,0,2,0,0,5,2,4,2
CRISSIUMAL,1,85,4,4,0,0,10,3,4,2
CRISTAL,2,50,2,4,0,0,10,6,6,3
CRISTAL DO SUL,1,14,1,0,0,0,3,3,1,1
CRUZ ALTA,6,928,53,234,0,11,134,74,64,54
CRUZALTENSE,0,9,1,2,0,0,1,1,0,0
CRUZEIRO DO SUL,4,102,6,19,0,4,11,7,13,3
DAVID CANABARRO,0,25,5,4,0,0,6,0,0,0
DERRUBADAS,0,26,0,0,0,0,0,2,0,0
DEZESSEIS DE NOVEMBRO,0,8,1,1,0,0,1,4,0,1
DILERMANDO DE AGUIAR,0,54,0,3,0,0,0,5,1,0
