Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,0,44,0,0,0,0,1,2,0,0
AGUA SANTA,0,30,2,2,0,1,4,2,0,0
AGUDO,0,125,3,9,0,0,15,3,6,7
AJURICABA,0,33,2,0,0,0,6,3,4,0
ALECRIM,1,66,2,0,0,1,7,2,3,1
ALEGRETE,3,727,15,110,0,2,167,28,78,45
ALEGRIA,0,23,0,0,0,0,1,6,2,0
ALMIRANTE TAMANDARE DO SUL,0,7,1,3,0,1,2,1,0,0
ALPESTRE,1,49,1,3,0,0,1,7,0,1
ALTO ALEGRE,0,8,1,1,0,2,1,0,0,0
ALTO FELIZ,0,10,0,0,0,0,3,0,2,0
ALVORADA,80,1541,301,2269,2,387,436,98,271,259
AMARAL FERRADOR,1,19,1,5,0,1,5,0,0,0
AMETISTA DO SUL,0,51,3,3,0,0,1,1,5,1
ANDRE DA ROCHA,0,11,0,0,0,0,3,2,0,0
ANTA GORDA,0,38,3,3,0,0,6,10,1,2
ANTONIO PRADO,1,94,3,11,0,1,33,4,15,12
ARAMBARE,1,73,1,2,0,0,4,4,2,2
ARARICA,1,37,0,8,0,5,9,2,5,3
ARATIBA,0,26,2,0,0,0,2,0,0,0
ARROIO DO MEIO,4,152,15,31,0,2,47,3,19,4
ARROIO DO PADRE,0,8,1,0,0,1,6,0,0,0
ARROIO DO SAL,1,264,10,19,0,3,28,9,5,7
ARROIO DO TIGRE,0,128,6,8,1,1,9,9,1,2
ARROIO DOS RATOS,2,101,7,14,1,3,19,9,8,14
ARROIO GRANDE,2,212,2,6,1,1,24,7,15,11
ARVOREZINHA,1,89,4,5,0,0,8,4,3,1
AUGUSTO PESTANA,0,44,2,1,0,1,5,2,3,0
AUREA,1,17,1,0,0,0,8,3,0,0
BAGE,10,1444,66,214,1,3,274,44,137,98
BALNEARIO PINHAL,4,241,12,53,1,5,30,10,11,22
BARAO,0,16,2,2,0,0,14,1,1,0
BARAO DE COTEGIPE,0,41,2,5,1,0,14,4,2,2
BARAO DO TRIUNFO,2,36,2,8,0,3,4,8,1,2
BARRA DO GUARITA,0,21,0,0,0,0,2,3,2,0
BARRA DO QUARAI,1,66,0,2,0,0,3,2,1,2
BARRA DO RIBEIRO,7,139,1,29,1,5,16,9,12,15
BARRA DO RIO AZUL,0,5,0,0,0,0,1,2,0,0
BARRA FUNDA,0,21,0,1,0,0,2,2,0,0
BARRACAO,0,38,1,2,0,0,6,4,2,0
BARROS CASSAL,3,55,4,3,0,0,8,7,1,2
BENJAMIN CONSTANT DO SUL,0,11,2,2,0,0,1,1,0,0
BENTO GONCALVES,17,1130,254,416,0,62,370,59,134,78
BOA VISTA DAS MISSOES,0,15,2,3,0,0,4,0,0,0
BOA VISTA DO BURICA,0,24,3,1,0,0,5,1,0,4
BOA VISTA DO CADEADO,0,25,1,0,0,0,3,2,0,0
BOA VISTA DO INCRA,0,24,0,2,0,0,3,1,0,0
BOA VISTA DO SUL,1,12,1,0,0,1,5,0,0,0
BOM JESUS,2,136,5,14,0,2,13,6,21,15
BOM PRINCIPIO,0,85,11,8,0,4,23,3,42,3
BOM PROGRESSO,1,26,1,0,0,0,4,2,2,2
BOM RETIRO DO SUL,1,87,2,21,0,2,18,6,19,4
BOQUEIRAO DO LEAO,0,55,5,3,0,0,4,3,1,0
BOSSOROCA,0,56,0,2,0,0,5,9,5,0
BOZANO,0,8,0,0,0,0,1,1,0,1
BRAGA,0,35,1,2,0,0,2,5,1,1
BROCHIER,1,19,3,4,0,0,7,1,0,0
BUTIA,2,241,10,34,0,0,40,8,41,20
CACAPAVA DO SUL,2,384,16,23,0,1,73,19,37,19
CACEQUI,1,212,0,9,0,0,15,12,10,5
CACHOEIRA DO SUL,1,827,59,117,0,5,121,38,96,77
CACHOEIRINHA,23,1253,188,972,0,227,392,43,242,141
CACIQUE DOBLE,0,33,0,1,0,0,2,1,2,1
CAIBATE,1,20,2,2,0,0,10,4,1,1
CAICARA,0,36,2,0,1,0,4,3,1,0
CAMAQUA,8,827,51,150,0,5,156,20,42,42
CAMARGO,0,6,1,0,0,0,3,1,1,0
CAMBARA DO SUL,0,42,2,2,0,0,10,11,0,3
CAMPESTRE DA SERRA,0,28,0,5,0,0,2,2,0,0
CAMPINA DAS MISSOES,1,27,1,0,0,0,3,2,0,0
CAMPINAS DO SUL,0,50,0,2,0,1,11,2,4,1
CAMPO BOM,6,714,187,307,1,79,143,10,84,24
CAMPO NOVO,0,50,3,4,0,1,12,5,10,2
CAMPOS BORGES,0,18,3,0,0,0,1,2,2,0
CANDELARIA,7,318,18,28,1,4,33,18,16,7
CANDIDO GODOI,0,10,0,0,0,0,5,0,2,0
CANDIOTA,0,150,5,5,0,0,14,2,2,1
CANELA,2,629,32,56,0,1,115,18,74,49
CANGUCU,3,271,24,33,0,0,48,29,11,16
CANOAS,56,4132,619,2831,2,641,1010,129,724,487
CANUDOS DO VALE,0,6,0,0,0,0,2,0,0,0
CAPAO BONITO DO SUL,1,21,0,0,0,0,1,5,0,0
CAPAO DA CANOA,13,885,63,199,0,17,186,23,32,72
CAPAO DO CIPO,0,20,0,0,0,0,3,1,0,0
CAPAO DO LEAO,0,167,5,44,1,6,23,9,8,10
CAPELA DE SANTANA,0,101,3,6,0,4,14,2,13,3
CAPITAO,0,2,1,1,0,0,2,0,0,1
CAPIVARI DO SUL,1,41,1,5,0,0,16,6,0,2
CARAA,0,32,2,1,0,1,9,4,0,2
CARAZINHO,10,772,63,179,3,20,141,47,48,32
CARLOS BARBOSA,1,182,23,23,0,5,61,5,23,4
CARLOS GOMES,0,11,0,1,0,0,0,1,0,0
CASCA,2,70,11,10,0,6,32,5,8,0
CASEIROS,0,24,3,0,0,1,4,3,0,0
CATUIPE,1,71,2,2,0,0,12,5,3,2
CAXIAS DO SUL,65,4161,1127,2068,4,523,1514,192,216,279
CENTENARIO,0,9,0,0,0,0,3,0,0,0
CERRITO,0,44,0,3,0,0,1,2,2,2
CERRO BRANCO,0,14,1,0,0,0,0,1,0,0
CERRO GRANDE,0,9,1,1,0,0,1,0,0,0
CERRO GRANDE DO SUL,2,84,8,12,0,1,6,6,3,3
CERRO LARGO,0,95,2,2,0,1,17,0,10,6
CHAPADA,0,39,1,2,0,0,15,3,1,0
CHARQUEADAS,1,228,7,27,0,1,27,8,115,130
CHARRUA,0,13,0,3,0,0,1,1,0,0
CHIAPETTA,0,29,2,1,0,0,3,2,0,0
CHUI,2,144,4,10,0,1,6,2,15,2
CHUVISCA,0,22,0,4,0,0,2,1,0,0
CIDREIRA,2,330,20,65,0,3,38,11,45,23
CIRIACO,1,57,3,9,0,2,9,5,0,1
COLINAS,0,15,0,1,0,0,3,0,0,0
COLORADO,0,29,1,0,0,1,3,4,0,0
CONDOR,0,60,2,1,0,0,13,3,0,0
CONSTANTINA,1,58,6,7,0,0,8,8,3,1
COQUEIRO BAIXO,0,5,1,1,0,0,2,1,0,0
COQUEIROS DO SUL,1,15,0,2,0,0,1,1,0,0
