Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,0,38,0,2,0,0,4,2,0,0
AGUA SANTA,0,38,1,2,0,1,3,5,1,1
AGUDO,1,122,6,9,0,0,28,10,7,9
AJURICABA,0,31,3,1,0,0,11,3,5,0
ALECRIM,0,59,0,0,0,0,11,11,3,2
ALEGRETE,5,831,19,102,2,4,131,39,75,49
ALEGRIA,0,33,1,0,0,0,1,0,0,2
ALMIRANTE TAMANDARE DO SUL,0,11,0,0,0,0,5,1,0,0
ALPESTRE,2,48,1,1,0,1,4,1,0,0
ALTO ALEGRE,0,10,2,0,0,0,0,0,0,0
ALTO FELIZ,0,6,0,0,0,0,5,1,1,1
ALVORADA,110,1619,298,2363,1,366,430,106,259,280
AMARAL FERRADOR,2,34,3,1,0,1,6,5,0,0
AMETISTA DO SUL,0,43,1,0,0,0,3,2,6,4
ANDRE DA ROCHA,0,20,0,1,0,0,2,3,0,0
ANTA GORDA,0,30,1,2,0,1,7,1,2,0
ANTONIO PRADO,0,77,6,8,0,0,21,0,13,7
ARAMBARE,0,85,0,0,0,1,2,1,2,2
ARARICA,0,38,0,9,0,5,15,5,2,5
ARATIBA,0,24,1,1,0,0,6,0,1,0
ARROIO DO MEIO,2,140,9,24,0,0,46,5,21,4
ARROIO DO PADRE,0,4,1,0,0,0,1,0,0,0
ARROIO DO SAL,4,333,9,25,0,1,32,5,6,7
ARROIO DO TIGRE,1,125,6,4,0,2,13,7,0,3
ARROIO DOS RATOS,0,107,5,22,0,6,18,4,18,18
ARROIO GRANDE,2,202,5,9,0,0,21,9,25,28
ARVOREZINHA,2,79,2,8,0,1,6,5,9,2
AUGUSTO PESTANA,0,27,2,2,0,0,12,4,4,0
AUREA,0,15,1,0,0,0,7,1,0,1
BAGE,8,1453,69,230,0,5,226,63,153,105
