Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,1,38,0,0,0,1,3,2,0,0
AGUA SANTA,0,28,2,2,0,1,6,4,0,0
AGUDO,0,109,3,10,0,1,18,5,4,6
AJURICABA,0,32,1,1,0,0,5,3,2,0
ALECRIM,0,59,1,0,0,0,3,5,3,1
ALEGRETE,4,673,16,80,1,4,94,40,89,60
ALEGRIA,1,23,0,2,0,0,3,3,0,0
ALMIRANTE TAMANDARE DO SUL,0,14,0,5,0,0,1,1,0,0
ALPESTRE,3,57,5,3,0,1,2,10,1,1
ALTO ALEGRE,0,9,1,0,0,0,3,0,2,0
ALTO FELIZ,0,5,0,0,0,0,5,0,2,0
ALVORADA,93,1702,276,2147,1,411,337,108,310,266
AMARAL FERRADOR,1,32,2,5,0,0,5,2,1,2
AMETISTA DO SUL,1,49,8,0,0,1,4,2,5,0
ANDRE DA ROCHA,0,21,0,0,0,0,2,1,0,0
ANTA GORDA,0,27,0,2,0,0,7,3,1,0
ANTONIO PRADO,2,100,6,4,0,2,23,4,14,9
ARAMBARE,0,93,3,3,0,1,5,0,2,2
ARARICA,1,33,4,10,0,8,11,2,4,1
ARATIBA,0,18,1,1,0,0,6,4,2,1
ARROIO DO MEIO,0,139,11,16,1,1,29,5,41,6
ARROIO DO PADRE,0,5,0,0,0,0,4,1,0,0
ARROIO DO SAL,1,338,13,30,0,3,24,4,20,4
ARROIO DO TIGRE,0,131,12,10,0,1,15,15,0,6
ARROIO DOS RATOS,1,107,3,16,0,2,9,10,11,17
ARROIO GRANDE,1,180,5,10,0,0,29,3,16,17
ARVOREZINHA,1,81,6,6,0,0,11,12,10,2
AUGUSTO PESTANA,0,41,3,6,0,0,5,4,2,0
AUREA,0,15,0,0,0,0,3,0,0,1
BAGE,10,1307,49,236,1,9,224,51,167,94
BALNEARIO PINHAL,7,329,10,43,0,5,30,12,22,11
BARAO,1,17,2,1,0,0,7,0,2,0
BARAO DE COTEGIPE,0,43,0,4,0,1,5,9,2,2
BARAO DO TRIUNFO,2,52,4,5,0,0,1,5,1,0
BARRA DO GUARITA,0,21,0,3,0,0,1,5,1,0
BARRA DO QUARAI,0,37,3,3,0,0,4,0,3,2
BARRA DO RIBEIRO,3,181,1,24,1,4,14,3,22,16
BARRA DO RIO AZUL,0,4,0,1,0,0,0,1,0,0
BARRA FUNDA,0,13,2,1,0,1,2,1,0,0
BARRACAO,0,43,0,4,0,0,8,10,3,1
BARROS CASSAL,1,89,4,11,0,0,11,9,1,1
BENJAMIN CONSTANT DO SUL,0,6,0,3,0,0,0,1,0,0
BENTO GONCALVES,33,1110,217,297,0,64,341,61,83,68
BOA VISTA DAS MISSOES,0,12,1,1,0,0,2,1,0,0
BOA VISTA DO BURICA,0,26,0,0,0,0,6,1,2,2
BOA VISTA DO CADEADO,0,29,1,0,0,1,7,2,0,0
BOA VISTA DO INCRA,0,23,2,0,0,0,1,1,0,0
BOA VISTA DO SUL,0,15,1,2,0,0,1,0,0,0
BOM JESUS,4,100,4,6,0,0,11,4,14,11
BOM PRINCIPIO,1,77,3,15,0,6,20,3,38,6
BOM PROGRESSO,0,11,0,1,0,0,6,1,0,0
BOM RETIRO DO SUL,0,81,7,17,1,3,15,4,23,2
BOQUEIRAO DO LEAO,1,64,5,3,0,1,3,2,1,0
BOSSOROCA,0,47,0,4,0,0,1,5,0,2
BOZANO,0,17,1,2,0,0,0,1,0,0
BRAGA,0,28,1,1,0,0,4,5,1,4
BROCHIER,0,19,0,2,0,0,6,1,0,0
BUTIA,11,288,6,34,0,1,38,15,42,21
CACAPAVA DO SUL,5,432,16,33,0,0,41,30,50,20
CACEQUI,1,214,0,7,0,0,29,15,11,8
CACHOEIRA DO SUL,9,925,87,86,0,4,108,36,104,87
CACHOEIRINHA,30,1444,185,1038,0,242,363,55,279,136
CACIQUE DOBLE,1,18,2,0,0,0,3,3,1,0
CAIBATE,1,16,1,3,0,0,9,4,0,2
CAICARA,0,41,0,0,0,0,5,4,0,0
CAMAQUA,9,940,74,144,0,11,136,48,54,34
CAMARGO,0,9,0,2,0,0,3,1,2,1
CAMBARA DO SUL,0,75,2,3,0,0,16,4,1,9
CAMPESTRE DA SERRA,2,41,1,7,0,0,6,5,0,0
CAMPINA DAS MISSOES,0,18,3,0,0,1,3,3,0,0
CAMPINAS DO SUL,0,32,1,0,0,0,4,5,5,1
CAMPO BOM,5,727,164,331,1,98,158,20,135,26
CAMPO NOVO,0,45,6,6,0,1,11,9,7,3
CAMPOS BORGES,0,14,3,2,0,2,3,6,3,0
CANDELARIA,9,294,22,42,1,3,26,24,9,9
CANDIDO GODOI,0,17,2,0,0,0,2,1,1,0
CANDIOTA,1,164,7,12,0,0,16,7,2,5
CANELA,3,628,30,57,0,0,96,21,78,54
CANGUCU,2,329,17,23,0,2,28,31,11,13
CANOAS,75,4382,632,3047,2,716,949,169,554,393
CANUDOS DO VALE,0,8,0,1,0,0,1,0,0,0
CAPAO BONITO DO SUL,0,25,0,1,0,1,1,3,1,0
CAPAO DA CANOA,16,1045,96,220,1,21,221,16,65,72
CAPAO DO CIPO,0,18,1,0,0,0,2,2,0,0
CAPAO DO LEAO,1,151,9,30,0,3,18,13,4,12
CAPELA DE SANTANA,2,74,4,13,0,4,11,2,15,9
CAPITAO,0,10,1,0,0,0,5,1,3,2
CAPIVARI DO SUL,0,35,4,1,0,0,5,10,4,1
CARAA,0,38,1,3,0,0,3,3,4,0
CARAZINHO,8,824,81,120,0,22,168,50,41,31
CARLOS BARBOSA,0,199,9,20,0,13,54,6,11,10
CARLOS GOMES,0,8,0,0,0,1,3,0,0,0
CASCA,1,68,6,9,0,6,24,0,8,1
CASEIROS,0,33,2,3,0,2,3,1,0,1
CATUIPE,1,69,0,4,0,0,4,6,3,4
CAXIAS DO SUL,69,4704,1212,2061,4,544,1357,238,238,274
CENTENARIO,0,12,0,1,0,0,1,4,1,0
CERRITO,1,51,1,2,0,1,1,4,2,0
CERRO BRANCO,0,26,1,0,0,0,1,3,0,0
CERRO GRANDE,0,10,0,1,1,0,0,1,0,0
CERRO GRANDE DO SUL,2,81,10,13,0,2,5,7,1,1
CERRO LARGO,2,86,5,10,0,0,19,12,13,7
CHAPADA,0,28,0,2,0,0,13,4,1,0
CHARQUEADAS,4,268,7,28,0,1,27,13,114,95
CHARRUA,0,9,0,0,0,2,1,0,0,1
CHIAPETTA,0,27,1,0,0,0,6,4,0,0
CHUI,1,155,5,18,0,0,15,3,10,3
CHUVISCA,0,39,5,4,0,0,1,4,0,0
CIDREIRA,9,442,24,58,1,4,47,13,45,34
CIRIACO,1,54,2,3,0,0,3,11,2,0
COLINAS,0,17,2,0,0,0,1,0,2,0
COLORADO,0,17,0,1,0,0,9,0,1,0
CONDOR,0,61,4,1,0,0,8,5,0,0
CONSTANTINA,1,56,3,1,0,0,14,3,3,3
COQUEIRO BAIXO,0,12,1,0,0,0,0,2,0,0
COQUEIROS DO SUL,1,13,0,0,0,0,3,1,0,0
CORONEL BARROS,1,18,0,1,0,0,3,0,1,0
CORONEL BICACO,2,72,7,9,0,2,8,3,6,2
CORONEL PILAR,0,15,0,0,0,0,1,0,0,0
COTIPORA,0,27,2,0,0,0,8,2,0,2
COXILHA,0,19,1,0,0,0,2,5,3,1
CRISSIUMAL,0,105,9,4,0,1,23,9,4,1
CRISTAL,0,66,0,4,0,1,6,3,1,1
CRISTAL DO SUL,0,8,1,2,0,0,0,3,1,0
CRUZ ALTA,10,929,103,190,0,13,129,55,31,33
CRUZALTENSE,0,8,1,0,0,1,0,4,0,1
CRUZEIRO DO SUL,3,87,10,17,0,2,7,4,3,2
DAVID CANABARRO,0,28,1,1,0,0,5,2,0,0
DERRUBADAS,0,18,1,0,0,0,1,8,1,0
DEZESSEIS DE NOVEMBRO,0,17,0,0,0,0,1,1,0,0
DILERMANDO DE AGUIAR,0,53,1,1,0,0,0,3,0,0
DOIS IRMAOS,0,196,27,37,0,9,44,6,27,6
DOIS IRMAOS DAS MISSOES,0,5,0,0,0,0,3,2,0,0
DOIS LAJEADOS,0,8,0,0,0,1,2,1,1,0
DOM FELICIANO,1,91,6,14,0,1,10,10,7,3
DOM PEDRITO,5,332,13,40,0,2,65,32,33,23
DOM PEDRO DE ALCANTARA,0,16,1,0,0,0,1,0,0,0
DONA FRANCISCA,0,28,0,1,0,0,2,5,0,0
DOUTOR RICARDO,0,12,1,0,0,0,1,0,0,0
DR MAURICIO CARDOSO,1,32,2,0,0,0,3,1,1,0
ELDORADO DO SUL,6,408,19,159,0,14,79,27,87,55
ENCANTADO,4,289,13,20,0,3,40,19,36,27
ENCRUZILHADA DO SUL,7,315,14,50,0,2,44,19,2,6
ENGENHO VELHO,0,2,0,0,0,0,2,1,0,0
ENTRE IJUIS,0,90,2,4,0,0,2,10,1,1
ENTRE RIOS DO SUL,1,39,0,5,0,0,0,2,0,1
EREBANGO,1,24,2,0,0,0,4,2,1,1
ERECHIM,9,1084,110,185,1,8,219,166,166,92
ERNESTINA,0,36,1,3,0,0,11,6,4,0
ERVAL GRANDE,0,30,5,4,0,1,1,10,2,1
ERVAL SECO,0,33,0,1,0,0,6,4,0,2
ESMERALDA,0,41,0,1,0,3,0,6,1,0
ESPERANCA DO SUL,0,9,0,0,0,0,1,3,0,1
ESPUMOSO,2,80,16,10,0,1,13,5,8,8
ESTACAO,1,28,3,6,0,0,7,2,3,2
ESTANCIA VELHA,0,317,58,176,1,48,75,4,53,15
ESTEIO,10,1331,124,684,1,92,203,37,152,80
ESTRELA,6,388,26,83,0,3,70,10,96,26
ESTRELA VELHA,0,11,0,2,0,0,2,1,0,2
EUGENIO DE CASTRO,0,21,1,0,0,0,0,3,0,1
FAGUNDES VARELA,0,15,1,1,0,0,1,0,0,0
FARROUPILHA,13,702,102,186,3,57,159,40,88,36
FAXINAL DO SOTURNO,0,62,3,5,0,0,7,3,3,5
FAXINALZINHO,0,10,0,1,0,0,2,5,0,0
FAZENDA VILA NOVA,1,45,9,10,0,4,4,2,6,2
FELIZ,0,77,8,9,0,1,28,3,27,6
FLORES DA CUNHA,3,197,31,52,0,13,73,17,20,9
FLORIANO PEIXOTO,0,8,0,1,0,0,3,0,0,0
FONTOURA XAVIER,2,87,11,5,0,0,12,9,4,3
FORMIGUEIRO,0,75,1,2,0,0,9,1,0,4
FORQUETINHA,0,7,0,3,0,0,0,3,0,0
FORTALEZA DOS VALOS,1,31,2,3,0,0,6,3,2,0
FREDERICO WESTPHALEN,3,245,15,13,0,1,61,20,95,17
GARIBALDI,2,278,30,49,0,23,54,6,19,10
