Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,0,46,1,0,0,0,5,2,0,0
AGUA SANTA,0,23,3,1,0,0,2,0,0,0
AGUDO,0,95,1,6,0,1,22,4,2,1
AJURICABA,0,29,1,0,0,1,3,5,0,0
ALECRIM,0,38,3,1,0,0,4,9,6,2
ALEGRETE,10,600,15,75,1,1,130,43,86,49
ALEGRIA,0,27,1,1,0,0,5,6,0,0
ALMIRANTE TAMANDARE DO SUL,0,10,1,0,0,0,1,0,1,0
ALPESTRE,0,42,3,1,0,0,1,7,1,1
ALTO ALEGRE,0,4,1,0,0,0,2,1,0,0
ALTO FELIZ,0,8,1,0,0,0,3,1,1,1
ALVORADA,81,1246,212,1831,2,322,393,87,122,219
AMARAL FERRADOR,0,34,2,3,0,1,5,1,0,0
AMETISTA DO SUL,0,54,6,1,0,0,5,3,11,3
ANDRE DA ROCHA,0,21,0,0,0,0,0,0,1,0
ANTA GORDA,0,24,0,2,0,1,9,3,5,0
ANTONIO PRADO,0,101,7,5,0,0,35,0,9,4
ARAMBARE,0,64,3,5,0,1,5,0,4,1
ARARICA,1,30,0,11,0,3,11,2,5,1
ARATIBA,0,25,0,0,0,0,9,6,1,0
ARROIO DO MEIO,2,130,7,15,0,3,43,3,30,5
ARROIO DO PADRE,0,3,1,0,0,0,0,0,0,0
ARROIO DO SAL,1,268,12,27,0,4,36,4,13,11
ARROIO DO TIGRE,0,109,5,8,0,0,13,7,1,5
ARROIO DOS RATOS,0,76,2,17,0,4,8,2,10,15
ARROIO GRANDE,2,168,1,9,0,1,19,10,17,24
ARVOREZINHA,1,66,2,6,1,2,6,11,6,2
AUGUSTO PESTANA,0,36,1,0,0,0,7,0,0,0
AUREA,0,19,0,1,0,2,6,0,0,1
BAGE,9,1069,79,210,1,1,202,47,146,100
BALNEARIO PINHAL,4,206,6,46,0,6,27,5,15,15
BARAO,2,7,1,0,0,1,11,1,2,0
BARAO DE COTEGIPE,1,62,5,0,0,0,6,5,3,0
BARAO DO TRIUNFO,1,29,3,0,0,1,1,3,0,1
BARRA DO GUARITA,0,28,1,3,0,0,1,3,0,0
BARRA DO QUARAI,0,62,0,3,0,0,5,3,3,2
BARRA DO RIBEIRO,2,147,3,26,0,4,16,9,14,8
BARRA DO RIO AZUL,0,9,0,1,0,0,0,0,0,0
BARRA FUNDA,0,14,1,4,0,0,2,1,0,0
BARRACAO,0,43,1,2,0,0,4,4,3,3
BARROS CASSAL,0,63,3,6,0,0,9,2,2,2
BENJAMIN CONSTANT DO SUL,0,5,0,0,0,0,1,1,0,0
BENTO GONCALVES,14,984,167,252,0,39,311,52,90,70
BOA VISTA DAS MISSOES,0,16,1,0,0,0,2,1,0,1
BOA VISTA DO BURICA,0,22,0,0,0,0,2,0,0,0
BOA VISTA DO CADEADO,0,15,1,0,0,0,2,0,0,0
BOA VISTA DO INCRA,0,14,2,0,0,0,3,2,0,0
BOA VISTA DO SUL,0,16,0,1,0,0,3,0,0,0
BOM JESUS,1,108,1,7,0,0,18,5,8,9
BOM PRINCIPIO,2,65,13,3,0,2,28,2,25,9
BOM PROGRESSO,0,9,0,0,0,0,1,1,2,0
BOM RETIRO DO SUL,0,72,3,16,0,2,21,5,27,13
BOQUEIRAO DO LEAO,0,44,4,1,0,0,4,1,0,2
BOSSOROCA,1,32,0,1,0,0,5,8,1,3
BOZANO,0,16,0,1,0,0,3,1,0,1
BRAGA,0,18,1,1,0,0,3,2,4,1
BROCHIER,0,10,0,1,0,0,7,1,1,0
BUTIA,4,199,9,19,0,5,38,19,26,10
CACAPAVA DO SUL,2,316,18,25,1,2,63,17,47,18
CACEQUI,3,154,2,13,0,0,10,8,6,3
CACHOEIRA DO SUL,4,720,77,85,0,3,104,52,76,74
CACHOEIRINHA,16,1086,133,822,2,198,366,40,162,117
CACIQUE DOBLE,1,25,1,5,0,1,1,0,0,1
CAIBATE,0,20,1,2,0,1,3,1,0,1
CAICARA,1,15,1,2,0,0,2,3,0,0
CAMAQUA,5,664,49,111,0,9,85,33,38,35
CAMARGO,0,11,1,1,0,0,2,2,1,1
CAMBARA DO SUL,1,23,0,5,0,1,5,8,1,3
CAMPESTRE DA SERRA,0,28,1,3,0,0,3,3,4,0
CAMPINA DAS MISSOES,0,19,0,1,0,1,9,0,0,0
CAMPINAS DO SUL,0,30,3,2,0,0,4,5,7,0
CAMPO BOM,1,553,170,258,0,71,132,16,83,24
CAMPO NOVO,1,42,6,3,0,0,10,3,11,4
CAMPOS BORGES,1,15,2,1,0,0,1,2,0,0
CANDELARIA,5,247,23,20,1,3,40,20,12,2
CANDIDO GODOI,0,14,0,0,0,0,6,0,0,0
CANDIOTA,0,99,1,3,0,0,13,0,2,2
CANELA,10,569,23,50,0,1,114,13,53,42
CANGUCU,4,268,16,26,0,1,47,21,6,5
CANOAS,69,3553,529,2281,3,537,1019,130,422,324
CANUDOS DO VALE,0,6,0,0,0,0,2,0,0,0
CAPAO BONITO DO SUL,0,32,0,0,0,0,0,1,0,0
CAPAO DA CANOA,12,837,75,145,0,20,198,21,47,52
CAPAO DO CIPO,1,6,0,0,0,0,4,3,0,0
CAPAO DO LEAO,4,165,8,33,0,7,24,12,4,9
CAPELA DE SANTANA,4,61,4,8,0,4,13,2,7,5
CAPITAO,0,17,0,0,0,0,3,2,2,1
CAPIVARI DO SUL,0,31,0,1,0,1,10,1,6,1
CARAA,0,18,0,2,0,0,2,3,2,1
CARAZINHO,6,589,70,95,2,10,142,33,37,37
CARLOS BARBOSA,2,151,21,25,0,8,128,5,16,8
CARLOS GOMES,0,3,1,0,0,0,1,1,0,0
CASCA,1,48,5,10,0,3,41,3,11,4
CASEIROS,0,17,2,1,0,3,5,2,1,1
CATUIPE,2,72,3,0,0,0,13,13,9,2
CAXIAS DO SUL,71,3906,1032,1821,4,473,1423,184,175,199
CENTENARIO,0,3,1,0,0,0,0,2,0,0
CERRITO,0,42,0,3,0,1,4,2,2,0
CERRO BRANCO,0,16,2,1,0,0,1,4,0,0
CERRO GRANDE,0,5,0,0,0,0,0,3,0,0
CERRO GRANDE DO SUL,2,57,14,11,0,6,6,7,0,4
CERRO LARGO,0,66,4,0,0,0,17,0,6,6
CHAPADA,0,35,0,0,0,0,15,2,1,1
CHARQUEADAS,2,162,10,20,0,0,38,20,100,104
CHARRUA,0,8,0,0,0,1,1,2,0,0
CHIAPETTA,0,27,1,0,0,0,4,1,0,0
CHUI,2,107,2,18,0,0,13,0,9,1
CHUVISCA,0,25,2,3,0,0,4,0,0,0
CIDREIRA,4,361,11,68,0,9,41,8,26,20
CIRIACO,1,36,2,2,0,1,3,5,1,1
COLINAS,0,9,1,0,0,0,2,0,2,0
COLORADO,0,23,1,0,0,0,5,3,0,0
CONDOR,0,48,3,2,0,0,12,6,0,0
CONSTANTINA,1,36,2,6,0,0,11,5,1,0
COQUEIRO BAIXO,0,3,0,2,0,0,0,0,0,0
COQUEIROS DO SUL,0,8,0,0,0,0,2,1,0,0
CORONEL BARROS,0,17,0,0,0,0,5,0,1,0
CORONEL BICACO,0,63,6,4,0,1,4,4,6,1
CORONEL PILAR,0,7,0,0,0,1,1,0,0,0
COTIPORA,0,25,3,0,0,2,4,4,0,0
COXILHA,0,31,2,3,0,2,0,3,3,0
CRISSIUMAL,0,75,4,3,0,0,10,6,6,3
CRISTAL,1,63,2,7,0,2,3,2,6,4
CRISTAL DO SUL,0,8,0,1,0,0,1,2,0,0
CRUZ ALTA,9,700,45,135,0,7,141,51,34,45
CRUZALTENSE,0,8,1,0,0,0,0,3,0,0
CRUZEIRO DO SUL,1,70,8,16,0,2,14,3,7,2
DAVID CANABARRO,0,25,0,1,0,1,5,2,0,0
DERRUBADAS,1,10,1,1,0,0,2,3,0,1
DEZESSEIS DE NOVEMBRO,0,17,0,0,0,0,0,4,1,1
DILERMANDO DE AGUIAR,0,41,0,2,0,0,1,1,1,0
DOIS IRMAOS,0,133,33,29,0,9,54,2,20,4
DOIS IRMAOS DAS MISSOES,0,10,0,0,0,0,0,1,0,0
DOIS LAJEADOS,0,17,2,0,0,1,1,1,0,0
DOM FELICIANO,1,62,4,6,0,0,9,6,1,1
DOM PEDRITO,2,311,15,24,1,1,68,21,18,24
