Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,0,38,0,1,0,1,5,0,1,0
AGUA SANTA,0,46,3,5,0,0,3,0,1,0
AGUDO,1,112,3,1,0,0,15,2,6,2
AJURICABA,0,37,1,1,0,0,4,3,3,0
ALECRIM,2,58,3,1,0,0,2,4,3,3
ALEGRETE,11,747,18,121,0,2,153,40,98,39
ALEGRIA,0,40,0,1,0,0,0,5,0,0
ALMIRANTE TAMANDARE DO SUL,0,13,0,0,0,0,3,3,0,0
ALPESTRE,1,54,2,4,0,1,3,16,4,0
ALTO ALEGRE,0,7,1,1,0,2,0,3,0,0
ALTO FELIZ,0,7,1,0,0,0,2,0,2,0
ALVORADA,96,1421,243,2134,1,369,430,91,247,253
AMARAL FERRADOR,2,29,1,0,0,0,2,1,0,0
AMETISTA DO SUL,2,53,1,1,0,0,5,5,8,1
ANDRE DA ROCHA,0,12,0,0,0,0,1,2,0,0
ANTA GORDA,0,38,3,0,0,0,5,5,0,0
ANTONIO PRADO,0,101,8,9,0,2,42,6,13,6
ARAMBARE,0,63,0,0,0,1,9,3,4,3
ARARICA,1,46,1,9,0,6,9,3,5,4
ARATIBA,0,41,1,1,0,0,6,4,2,0
ARROIO DO MEIO,2,153,13,21,0,2,34,5,30,10
ARROIO DO PADRE,0,10,1,0,0,0,1,1,0,0
ARROIO DO SAL,1,308,4,20,1,1,33,8,21,10
ARROIO DO TIGRE,1,123,5,4,0,0,17,20,1,3
ARROIO DOS RATOS,1,95,2,4,0,1,17,8,13,13
ARROIO GRANDE,0,145,4,10,0,0,35,7,17,23
ARVOREZINHA,0,73,3,5,0,2,18,13,3,6
AUGUSTO PESTANA,0,37,1,1,0,0,15,0,1,1
AUREA,0,21,0,1,0,0,3,0,0,1
BAGE,10,1187,59,248,0,6,214,49,125,102
BALNEARIO PINHAL,5,274,5,31,0,4,30,7,10,17
BARAO,0,23,2,2,0,2,11,3,3,0
BARAO DE COTEGIPE,0,51,3,3,0,1,13,6,1,2
BARAO DO TRIUNFO,1,41,5,1,0,0,4,4,2,1
BARRA DO GUARITA,2,34,0,2,0,0,0,6,0,0
BARRA DO QUARAI,1,74,3,1,0,0,4,0,2,2
BARRA DO RIBEIRO,1,168,2,34,0,2,23,8,21,2
BARRA DO RIO AZUL,0,9,0,2,0,0,0,0,0,0
BARRA FUNDA,0,11,1,2,0,1,0,0,0,1
BARRACAO,0,44,2,1,0,1,5,8,4,0
BARROS CASSAL,2,88,3,10,0,0,7,10,4,5
BENJAMIN CONSTANT DO SUL,0,11,0,0,0,0,0,2,0,0
BENTO GONCALVES,15,1211,237,326,1,34,343,60,105,72
BOA VISTA DAS MISSOES,0,8,1,3,0,0,0,1,0,3
BOA VISTA DO BURICA,0,25,0,0,0,0,3,2,4,0
BOA VISTA DO CADEADO,0,20,0,1,0,0,4,1,0,0
BOA VISTA DO INCRA,0,12,1,0,0,0,1,2,0,0
BOA VISTA DO SUL,0,9,2,3,0,1,2,0,0,0
BOM JESUS,4,115,2,20,0,1,19,6,11,14
BOM PRINCIPIO,0,78,5,11,0,5,30,2,29,13
BOM PROGRESSO,2,16,1,0,0,1,1,6,2,2
BOM RETIRO DO SUL,0,96,1,11,0,3,18,7,26,9
BOQUEIRAO DO LEAO,0,59,2,0,0,1,5,4,1,0
BOSSOROCA,2,57,1,2,0,0,6,6,5,1
BOZANO,0,19,0,0,0,0,4,0,1,0
BRAGA,0,48,2,4,0,0,3,5,1,2
BROCHIER,0,18,4,4,0,0,4,0,0,2
BUTIA,2,251,11,38,0,1,44,7,51,29
CACAPAVA DO SUL,3,315,15,26,0,2,87,20,28,16
CACEQUI,3,194,0,9,0,0,20,15,11,5
CACHOEIRA DO SUL,6,846,77,110,0,3,96,40,89,100
CACHOEIRINHA,21,1313,193,996,0,222,391,41,215,110
CACIQUE DOBLE,0,37,0,1,0,0,1,1,1,0
CAIBATE,0,26,3,1,0,0,7,8,1,3
CAICARA,0,25,2,2,0,0,0,3,2,0
CAMAQUA,5,786,60,126,0,10,131,47,60,50
CAMARGO,0,8,0,0,0,2,0,2,0,0
CAMBARA DO SUL,1,63,3,1,0,1,5,6,2,2
CAMPESTRE DA SERRA,0,26,0,1,0,1,2,2,0,1
CAMPINA DAS MISSOES,1,26,2,1,1,0,1,1,3,0
CAMPINAS DO SUL,0,48,3,3,0,0,7,7,1,1
CAMPO BOM,6,659,190,371,0,92,143,19,141,30
CAMPO NOVO,1,52,1,4,0,0,9,7,3,2
CAMPOS BORGES,0,18,4,2,0,0,2,2,1,0
CANDELARIA,8,365,23,21,0,6,36,28,24,14
CANDIDO GODOI,0,22,0,1,0,0,4,1,0,0
CANDIOTA,0,157,5,8,0,0,17,2,1,2
CANELA,3,682,21,44,0,2,106,20,72,70
CANGUCU,1,337,21,21,0,0,45,23,1,11
CANOAS,79,4237,617,2655,3,705,1109,151,599,368
CANUDOS DO VALE,0,3,0,1,0,0,3,1,0,0
CAPAO BONITO DO SUL,0,39,0,0,0,0,1,3,1,0
