Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,1,45,2,3,0,1,4,3,0,1
AGUA SANTA,0,32,0,2,0,0,1,4,0,0
AGUDO,0,124,2,5,1,0,23,5,5,4
AJURICABA,0,40,1,0,0,0,14,1,5,0
ALECRIM,1,72,1,2,0,0,2,3,4,2
ALEGRETE,8,722,18,93,1,1,133,51,75,65
ALEGRIA,0,30,1,0,0,0,4,14,0,0
ALMIRANTE TAMANDARE DO SUL,0,11,0,0,0,0,0,1,0,0
ALPESTRE,1,56,1,0,0,0,2,5,6,0
ALTO ALEGRE,0,8,0,0,0,0,0,0,0,0
ALTO FELIZ,0,7,0,1,0,0,6,0,0,0
ALVORADA,93,1352,287,2043,3,377,407,107,289,227
AMARAL FERRADOR,1,35,7,4,0,0,5,3,0,0
AMETISTA DO SUL,0,63,7,1,0,0,4,1,8,2
ANDRE DA ROCHA,0,14,0,3,0,0,1,4,1,1
ANTA GORDA,0,34,4,0,0,0,4,5,0,0
ANTONIO PRADO,0,104,9,15,0,0,37,4,15,12
ARAMBARE,0,55,0,2,0,0,3,3,1,0
ARARICA,0,35,1,11,0,9,11,5,2,1
ARATIBA,1,18,3,0,0,0,7,2,4,0
ARROIO DO MEIO,0,146,11,17,0,2,42,4,20,3
ARROIO DO PADRE,0,9,1,2,0,0,1,0,1,0
ARROIO DO SAL,1,275,9,27,1,2,35,10,8,4
ARROIO DO TIGRE,2,100,3,2,0,0,20,12,7,5
ARROIO DOS RATOS,0,73,5,12,0,3,13,3,18,18
ARROIO GRANDE,0,187,0,5,0,0,31,11,25,24
ARVOREZINHA,1,61,3,3,0,2,10,10,4,2
AUGUSTO PESTANA,0,35,0,1,0,0,14,0,2,1
AUREA,1,17,1,0,0,0,8,2,0,1
BAGE,10,1203,75,210,1,3,235,44,89,117
BALNEARIO PINHAL,2,251,7,35,0,5,43,7,9,5
BARAO,0,25,0,3,0,3,13,3,5,1
BARAO DE COTEGIPE,1,64,1,0,0,0,8,12,0,1
BARAO DO TRIUNFO,0,50,3,2,0,1,3,3,2,3
BARRA DO GUARITA,0,25,2,2,0,0,2,6,0,0
BARRA DO QUARAI,1,59,1,1,0,0,3,0,0,2
BARRA DO RIBEIRO,2,135,5,26,0,1,24,2,11,10
BARRA DO RIO AZUL,0,7,0,0,0,0,3,0,0,0
BARRA FUNDA,0,9,1,1,0,2,4,0,0,0
BARRACAO,0,51,4,2,0,0,7,8,5,1
BARROS CASSAL,2,77,5,4,0,0,7,9,4,2
BENJAMIN CONSTANT DO SUL,1,5,0,0,0,0,3,2,0,0
BENTO GONCALVES,9,1111,236,288,1,46,360,62,103,84
BOA VISTA DAS MISSOES,0,15,2,3,0,4,6,1,0,0
BOA VISTA DO BURICA,0,19,5,3,0,1,7,1,2,0
BOA VISTA DO CADEADO,0,18,0,1,0,1,2,0,0,0
BOA VISTA DO INCRA,0,21,0,0,0,0,3,1,0,0
BOA VISTA DO SUL,0,17,0,1,0,1,1,0,0,0
BOM JESUS,2,102,3,11,0,1,17,8,12,11
BOM PRINCIPIO,0,110,9,7,0,3,34,2,57,12
BOM PROGRESSO,0,11,0,0,0,0,1,4,0,2
BOM RETIRO DO SUL,0,86,6,10,0,3,20,4,26,9
BOQUEIRAO DO LEAO,0,38,7,3,0,0,2,2,1,0
BOSSOROCA,2,62,0,1,0,0,6,4,5,1
BOZANO,0,22,0,0,0,0,3,0,0,0
BRAGA,1,37,0,2,0,1,2,3,2,2
BROCHIER,0,18,2,1,0,0,9,2,0,2
BUTIA,4,239,10,34,0,1,59,13,33,18
CACAPAVA DO SUL,2,355,16,31,0,2,81,12,37,16
CACEQUI,3,185,4,10,0,0,16,12,13,8
CACHOEIRA DO SUL,8,878,113,115,1,6,104,37,72,86
CACHOEIRINHA,16,1217,192,1034,0,236,382,42,180,90
CACIQUE DOBLE,1,32,0,1,0,0,1,7,0,2
CAIBATE,0,18,1,0,0,0,6,4,1,1
CAICARA,1,25,1,1,0,0,3,3,2,0
CAMAQUA,4,770,57,105,0,7,130,36,71,50
CAMARGO,0,10,0,2,0,1,3,2,2,0
CAMBARA DO SUL,0,51,2,0,0,2,7,2,1,0
CAMPESTRE DA SERRA,1,26,0,4,0,0,5,0,1,0
CAMPINA DAS MISSOES,0,24,1,0,0,0,4,5,1,0
CAMPINAS DO SUL,0,61,4,0,0,0,6,6,6,3
CAMPO BOM,6,622,162,289,0,91,158,14,124,30
CAMPO NOVO,1,45,2,3,0,0,9,2,9,4
CAMPOS BORGES,1,18,3,1,0,1,1,2,3,1
CANDELARIA,5,312,23,33,0,4,36,21,14,3
CANDIDO GODOI,0,17,0,0,0,0,3,2,1,0
CANDIOTA,1,125,5,5,0,0,24,4,4,2
CANELA,3,593,22,50,0,3,101,21,76,73
CANGUCU,1,310,18,27,1,0,35,19,8,12
CANOAS,85,3776,604,2537,3,730,1033,137,557,339
CANUDOS DO VALE,0,4,0,0,0,0,0,1,0,0
CAPAO BONITO DO SUL,0,22,0,1,0,0,1,1,0,0
CAPAO DA CANOA,5,765,80,150,1,18,169,10,36,52
CAPAO DO CIPO,0,26,0,0,0,0,1,7,0,0
CAPAO DO LEAO,2,160,9,23,0,2,16,8,6,6
CAPELA DE SANTANA,3,85,8,14,1,5,15,6,9,4
CAPITAO,0,19,1,2,0,0,1,2,2,0
CAPIVARI DO SUL,0,30,2,4,0,1,6,2,3,4
CARAA,0,26,1,1,0,0,4,2,3,0
CARAZINHO,14,674,65,131,1,17,144,44,38,34
CARLOS BARBOSA,0,173,14,20,0,6,113,4,11,3
CARLOS GOMES,0,14,0,0,0,0,0,0,0,0
CASCA,0,59,10,12,0,3,36,5,14,3
CASEIROS,0,19,1,1,0,1,3,4,0,0
CATUIPE,0,117,3,5,0,0,8,6,4,3
CAXIAS DO SUL,75,4456,1095,2157,5,586,1511,227,152,252
CENTENARIO,0,5,0,0,0,0,1,1,0,0
CERRITO,0,62,3,3,0,0,4,2,2,0
CERRO BRANCO,0,11,2,5,0,0,1,0,0,0
CERRO GRANDE,0,9,1,0,0,0,0,3,0,0
CERRO GRANDE DO SUL,2,96,15,6,1,0,7,10,0,2
CERRO LARGO,1,63,3,3,0,0,13,11,10,11
CHAPADA,0,27,0,1,0,0,17,3,0,0
CHARQUEADAS,1,220,10,31,0,1,44,13,116,125
CHARRUA,0,11,1,1,0,0,0,2,0,0
CHIAPETTA,0,25,0,3,0,0,6,3,0,0
CHUI,1,152,2,9,0,0,16,5,8,2
CHUVISCA,0,48,0,2,0,0,2,5,0,0
CIDREIRA,8,443,15,52,0,11,48,11,31,19
CIRIACO,1,53,0,5,0,0,7,7,2,2
COLINAS,0,16,1,2,0,0,3,1,0,0
COLORADO,0,29,0,1,0,2,4,2,2,0
CONDOR,1,54,2,1,0,1,6,1,1,1
