Municipio,Homicidio Doloso,Homicidio Doloso de Transito,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Extorsao,Extorsao Mediante Sequestro,Estelionato,Delitos Relacionados a Corrupcao,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,0,0,60,3,1,0,0,0,0,1,0,2,0,0
AGUA SANTA,0,0,41,7,2,0,2,0,0,6,0,2,0,0
AGUDO,0,0,172,3,5,0,1,0,0,12,0,4,7,2
AJURICABA,0,0,58,7,3,0,1,0,0,4,0,7,3,0
ALECRIM,1,0,95,3,1,0,0,0,0,1,0,5,4,1
ALEGRETE,9,0,821,18,155,1,4,3,0,61,1,52,147,32
ALEGRIA,0,0,43,0,0,0,0,0,0,1,0,13,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,8,1,2,0,1,0,0,1,0,1,0,1
ALPESTRE,1,1,50,2,12,0,0,0,0,0,0,9,1,0
ALTO ALEGRE,0,0,17,0,0,0,0,0,0,0,0,2,1,0
ALTO FELIZ,0,0,7,0,1,0,0,0,0,2,0,0,1,0
ALVORADA,103,0,1782,557,3947,4,652,5,0,203,3,105,101,177
AMARAL FERRADOR,0,0,40,2,4,0,0,0,0,4,0,3,0,0
AMETISTA DO SUL,2,0,119,9,2,0,0,0,0,4,0,3,1,0
ANDRE DA ROCHA,0,0,21,1,2,0,0,0,0,0,0,4,0,0
ANTA GORDA,0,0,42,5,2,0,0,0,0,5,0,4,0,0
ANTONIO PRADO,0,0,139,9,14,0,1,0,0,15,0,3,15,7
ARAMBARE,0,0,167,2,2,0,0,0,0,0,0,3,7,1
ARARICA,2,0,67,1,15,1,8,1,0,7,0,7,7,3
ARATIBA,1,0,31,1,0,0,0,0,0,3,1,5,3,0
ARROIO DO MEIO,0,0,217,22,34,0,6,2,0,37,0,6,30,11
ARROIO DO PADRE,0,0,8,0,0,0,0,0,0,0,0,1,0,0
ARROIO DO SAL,4,0,467,21,32,0,1,0,0,13,0,8,19,16
ARROIO DO TIGRE,1,0,171,10,11,0,1,1,0,11,0,13,1,3
ARROIO DOS RATOS,2,0,138,18,28,0,5,0,0,12,1,10,7,14
ARROIO GRANDE,2,0,321,8,12,1,0,0,0,16,0,10,36,25
ARVOREZINHA,0,0,134,5,7,0,0,1,0,0,4,7,5,2
AUGUSTO PESTANA,0,0,70,1,3,0,0,0,0,8,0,1,4,0
AUREA,0,0,28,0,0,0,0,0,0,2,0,3,1,1
BAGE,17,0,1783,146,380,2,5,1,0,66,2,61,138,104
BALNEARIO PINHAL,8,0,510,20,87,1,15,1,0,18,0,25,20,30
BARAO,0,0,41,2,7,0,5,0,0,4,0,2,1,0
BARAO DE COTEGIPE,0,0,70,1,6,0,2,1,0,4,1,7,4,1
BARAO DO TRIUNFO,1,0,46,6,5,0,3,0,0,1,0,10,0,0
BARRA DO GUARITA,1,0,25,1,2,0,1,0,0,0,0,3,0,0
BARRA DO QUARAI,2,0,90,4,5,0,1,0,0,3,0,2,1,2
BARRA DO RIBEIRO,1,0,202,7,63,1,5,1,0,22,0,6,7,10
BARRA DO RIO AZUL,0,0,8,0,0,0,0,0,0,0,0,0,0,0
BARRA FUNDA,0,0,10,0,3,0,0,0,0,0,0,0,0,0
BARRACAO,1,0,59,3,6,0,0,0,0,4,0,8,2,1
BARROS CASSAL,0,0,77,3,7,0,1,1,0,11,0,7,1,8
BENJAMIN CONSTANT DO SUL,1,0,12,0,2,0,1,0,0,0,0,1,0,0
