Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,0,0,0,43,10,1,5,1,0,0,0,0
AGUA SANTA,0,0,0,18,1,2,0,1,1,1,0,1
AGUDO,0,0,0,60,6,1,4,0,3,8,4,8
AJURICABA,0,0,0,37,5,1,0,0,5,3,2,0
ALECRIM,0,0,0,44,10,1,3,0,4,8,2,1
ALEGRETE,5,5,0,392,49,6,42,0,36,9,71,46
ALEGRIA,0,0,0,33,9,0,1,0,1,1,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,1,6,1,0,0,0,1,0,0,0
ALPESTRE,0,0,0,40,5,1,0,0,0,2,1,0
ALTO ALEGRE,0,0,0,3,2,1,0,0,0,0,0,0
ALTO FELIZ,0,0,0,3,0,0,0,0,1,0,0,0
ALVORADA,71,80,1,803,11,193,1794,426,135,50,17,110
AMARAL FERRADOR,0,0,0,16,2,0,1,0,0,2,0,1
AMETISTA DO SUL,0,0,0,51,4,0,3,0,2,0,3,1
ANDRE DA ROCHA,0,0,0,7,5,1,0,0,2,0,0,0
ANTA GORDA,0,0,0,20,1,0,0,0,0,2,0,0
ANTONIO PRADO,0,0,0,56,4,7,5,2,11,4,2,2
ARAMBARE,1,1,0,26,1,1,3,0,0,1,4,1
ARARICA,0,0,0,22,1,1,4,4,2,1,3,2
ARATIBA,1,1,0,22,0,0,0,0,2,0,0,0
ARROIO DO MEIO,1,1,0,95,4,8,9,0,20,4,24,7
ARROIO DO PADRE,0,0,0,6,1,0,1,0,0,1,0,0
ARROIO DO SAL,1,1,0,231,4,14,15,6,13,4,18,7
ARROIO DO TIGRE,0,0,0,72,2,4,1,0,4,5,0,3
ARROIO DOS RATOS,2,2,0,57,6,2,11,1,3,6,8,9
ARROIO GRANDE,0,0,0,149,9,2,9,1,9,4,19,13
ARVOREZINHA,1,1,0,44,5,2,1,0,2,6,4,7
AUGUSTO PESTANA,0,0,0,23,0,1,1,0,2,3,1,2
AUREA,0,0,0,11,1,0,0,0,3,0,0,0
BAGE,6,6,1,883,67,38,166,6,43,32,106,72
BALNEARIO PINHAL,1,1,0,105,5,11,37,4,17,5,15,26
BARAO,0,0,0,11,0,0,0,0,0,1,1,0
BARAO DE COTEGIPE,0,0,0,46,3,2,0,2,1,2,3,2
BARAO DO TRIUNFO,0,0,0,30,3,3,3,0,2,1,4,0
BARRA DO GUARITA,0,0,0,11,3,0,0,0,2,2,0,1
BARRA DO QUARAI,0,0,0,49,18,1,1,0,0,0,0,1
BARRA DO RIBEIRO,0,0,1,61,8,2,19,1,3,10,15,9
BARRA DO RIO AZUL,0,0,0,7,0,0,0,1,1,1,0,0
BARRA FUNDA,0,0,0,4,1,0,1,1,1,0,0,1
BARRACAO,0,0,0,45,6,3,3,0,3,2,1,0
BARROS CASSAL,1,1,0,47,11,1,3,0,7,7,3,2
BENJAMIN CONSTANT DO SUL,1,1,0,4,0,1,0,0,0,2,0,0
BENTO GONCALVES,18,22,0,610,0,138,200,38,106,28,52,71
BOA VISTA DAS MISSOES,0,0,0,9,0,0,1,0,2,1,0,0
BOA VISTA DO BURICA,0,0,0,17,2,0,0,0,2,0,0,0
BOA VISTA DO CADEADO,0,0,0,2,0,0,0,0,0,0,0,0
BOA VISTA DO INCRA,0,0,0,5,1,1,0,0,0,0,0,0
BOA VISTA DO SUL,0,0,0,3,0,1,1,0,1,0,0,0
BOM JESUS,0,0,0,91,12,4,7,0,6,8,7,5
BOM PRINCIPIO,0,0,0,43,1,2,5,2,7,1,9,0
BOM PROGRESSO,0,0,0,12,0,5,1,0,2,1,3,2
BOM RETIRO DO SUL,1,1,0,49,7,1,21,0,5,4,21,6
