Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte
ACEGUA,1,1,0,30,17,0,0,0,27,2,1,0,0,0
AGUA SANTA,2,2,0,24,5,1,2,0,13,9,1,0,0,0
AGUDO,2,2,0,99,7,5,6,1,63,2,6,14,0,0
AJURICABA,0,0,0,23,4,0,0,0,22,4,4,1,0,0
ALECRIM,1,1,0,39,14,0,0,0,19,10,1,0,0,0
ALEGRETE,12,13,0,781,78,14,89,3,510,39,52,88,0,0
ALEGRIA,0,0,0,22,4,1,0,0,5,3,0,0,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,0,13,3,1,0,1,11,2,2,0,0,0
ALPESTRE,2,2,0,35,13,1,1,0,13,5,3,1,0,0
ALTO ALEGRE,0,0,0,2,0,0,0,0,6,1,0,0,0,0
ALTO FELIZ,0,0,0,15,0,3,1,0,20,0,2,1,0,0
ALVORADA,68,70,0,1520,24,257,2045,340,1490,94,129,577,0,3
AMARAL FERRADOR,4,5,0,37,8,2,3,0,22,3,1,0,0,0
AMETISTA DO SUL,1,1,0,46,8,3,1,0,27,5,43,12,0,0
ANDRE DA ROCHA,0,0,0,10,1,0,0,0,5,4,4,0,0,0
ANTA GORDA,0,0,0,42,5,2,1,0,23,3,5,2,0,0
ANTONIO PRADO,3,3,0,55,7,7,2,0,98,7,26,21,0,0
ARAMBARE,0,0,0,83,3,1,2,0,16,2,17,4,0,0
ARARICA,1,1,0,69,6,3,7,9,41,4,18,9,0,0
ARATIBA,0,0,0,17,1,1,1,0,21,3,5,0,0,0
ARROIO DO MEIO,1,1,0,152,0,10,14,1,142,8,25,15,0,0
ARROIO DO PADRE,0,0,0,0,0,1,0,1,7,0,0,0,0,0
ARROIO DO SAL,1,1,0,332,11,13,14,0,144,9,36,26,0,0
ARROIO DO TIGRE,0,0,0,121,9,9,9,1,66,6,0,14,0,0
ARROIO DOS RATOS,0,0,0,100,7,2,8,1,59,6,10,37,0,0
ARROIO GRANDE,0,0,0,157,40,2,10,0,82,10,24,45,0,0
ARVOREZINHA,4,4,1,50,4,5,3,0,30,6,4,7,1,0
AUGUSTO PESTANA,0,0,0,21,4,0,3,0,26,2,0,2,0,0
AUREA,0,0,0,10,3,0,0,1,26,1,0,2,0,0
BAGE,13,14,1,1065,104,27,182,3,988,44,177,191,1,0
BALNEARIO PINHAL,6,7,0,270,6,8,38,2,132,6,39,46,0,0
BARAO,0,0,0,17,2,0,1,0,49,3,7,3,0,0
BARAO DE COTEGIPE,1,1,0,30,2,2,1,0,48,6,7,8,0,0
BARAO DO TRIUNFO,0,0,0,19,6,2,3,0,22,5,0,0,0,0
BARRA DO GUARITA,1,1,0,26,10,3,3,0,6,3,2,1,0,0
BARRA DO QUARAI,0,0,0,69,20,0,1,0,5,2,5,2,0,0
BARRA DO RIBEIRO,3,3,0,96,15,4,6,0,68,8,42,33,0,0
BARRA DO RIO AZUL,0,0,0,6,3,0,0,0,5,3,0,0,0,0
BARRA FUNDA,0,0,0,9,2,0,0,1,12,1,0,0,0,0
BARRACAO,0,0,0,49,13,0,2,0,25,8,11,4,0,0
BARROS CASSAL,1,1,1,100,41,4,5,0,19,13,4,2,1,0
BENJAMIN CONSTANT DO SUL,0,0,0,9,1,2,3,0,2,1,0,0,0,0
BENTO GONCALVES,30,34,1,857,7,146,193,11,1259,102,156,130,1,1
BOA VISTA DAS MISSOES,0,0,0,13,1,1,1,0,12,2,1,1,0,0
BOA VISTA DO BURICA,0,0,0,16,2,1,1,0,16,1,8,3,0,0
BOA VISTA DO CADEADO,0,0,0,24,11,0,0,0,17,2,0,0,0,0
BOA VISTA DO INCRA,0,0,0,14,4,1,0,0,14,0,0,0,0,0
BOA VISTA DO SUL,0,0,0,14,1,1,0,0,8,0,0,0,0,0
BOM JESUS,1,1,0,154,37,4,9,1,63,5,28,12,0,1
BOM PRINCIPIO,1,1,0,89,4,13,5,5,120,7,96,38,0,0
BOM PROGRESSO,0,0,0,14,2,1,0,0,9,1,1,0,0,0
BOM RETIRO DO SUL,0,0,1,77,6,2,11,0,84,11,20,15,1,0
BOQUEIRAO DO LEAO,0,0,0,53,5,6,1,1,19,1,0,0,0,0
BOSSOROCA,0,0,0,49,24,0,1,0,9,4,15,5,0,0
BOZANO,0,0,0,14,2,0,0,0,7,1,0,3,0,0
BRAGA,0,0,0,20,6,0,0,0,16,4,5,2,0,0
BROCHIER,0,0,0,13,0,2,3,0,30,2,0,0,0,0
BUTIA,5,4,0,212,19,7,18,2,157,21,33,26,0,0
