Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte,Total de Vitimas de CVLI
ACEGUA,0,0,0,11,2,1,0,0,4,6,1,0,0,0,0
AGUA SANTA,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0
AGUDO,0,0,0,27,3,0,0,0,14,3,1,8,0,0,0
AJURICABA,0,0,0,9,0,0,0,0,11,0,1,0,0,0,0
ALECRIM,0,0,0,11,3,0,0,0,4,0,2,1,0,0,0
ALEGRETE,2,2,0,227,30,4,20,0,152,10,25,17,0,0,3
ALEGRIA,0,0,0,11,3,0,0,0,1,1,0,0,0,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0
ALPESTRE,0,0,0,15,2,0,0,0,6,4,0,0,0,0,0
ALTO ALEGRE,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0
ALTO FELIZ,0,0,0,11,0,1,0,0,1,0,0,0,0,0,0
ALVORADA,22,25,2,460,8,68,555,77,460,33,36,151,2,1,32
AMARAL FERRADOR,0,0,0,7,2,0,1,0,8,2,0,1,0,0,0
AMETISTA DO SUL,0,0,0,19,1,1,0,0,11,1,6,3,0,0,0
ANDRE DA ROCHA,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0
ANTA GORDA,0,0,0,7,0,1,0,0,3,0,0,0,0,0,0
ANTONIO PRADO,1,1,0,33,4,2,1,1,36,2,1,2,0,0,1
ARAMBARE,0,0,0,20,0,0,0,0,9,0,1,1,0,0,0
ARARICA,0,0,0,13,0,1,5,3,7,2,3,2,0,0,0
ARATIBA,0,0,0,8,1,0,1,0,9,1,0,0,0,0,0
ARROIO DO MEIO,1,1,0,37,0,5,3,3,44,2,23,6,0,0,1
ARROIO DO PADRE,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0
ARROIO DO SAL,0,0,0,85,2,3,3,1,50,2,2,10,0,0,0
ARROIO DO TIGRE,0,0,0,26,3,2,0,0,14,3,9,2,0,0,0
ARROIO DOS RATOS,0,0,0,43,1,3,2,2,18,1,0,17,0,0,0
ARROIO GRANDE,0,0,0,48,11,1,1,1,52,1,3,13,0,1,1
ARVOREZINHA,1,1,0,13,0,3,2,0,6,3,2,0,0,0,1
AUGUSTO PESTANA,0,0,0,11,3,0,1,0,5,0,1,0,0,0,0
AUREA,0,0,0,2,0,0,0,0,13,3,0,4,0,0,0
BAGE,3,3,0,379,32,12,50,2,310,13,46,67,0,0,3
BALNEARIO PINHAL,2,2,0,71,4,3,16,0,42,4,11,14,0,0,2
BARAO,0,0,0,7,2,0,1,0,21,1,0,0,0,0,0
BARAO DE COTEGIPE,0,0,0,15,3,0,0,0,8,2,0,0,0,0,0
BARAO DO TRIUNFO,0,0,0,14,4,1,3,0,10,0,0,0,0,0,0
BARRA DO GUARITA,0,0,0,5,1,2,0,0,4,1,1,0,0,0,0
BARRA DO QUARAI,0,0,0,17,9,0,1,0,3,0,2,0,0,0,0
BARRA DO RIBEIRO,1,1,0,34,6,0,4,0,20,2,19,10,0,0,1
BARRA DO RIO AZUL,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0
BARRA FUNDA,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0
BARRACAO,1,1,0,9,1,0,1,0,6,2,6,6,0,0,1
BARROS CASSAL,0,0,0,36,5,1,12,1,7,4,1,2,0,0,0
BENJAMIN CONSTANT DO SUL,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
BENTO GONCALVES,6,6,1,362,2,41,59,2,391,19,60,51,1,0,6
BOA VISTA DAS MISSOES,0,0,0,3,0,0,2,0,2,1,0,0,0,0,0
